"","ID1","ID2","MHCAll_perc_similar","MHCI_perc_similar","MHCII_perc_similar","KINSHIP","MHCall_common","MHCall_unique","MHCI_common","MHCI_unique","MHCII_common","MHCII_unique","Supertypeall_common","Supertypesall_unique","SupertypeAB_common","SupertypesAB_unique","SupertypeII_common","SupertypesII_unique"
"146","20","18",0.0571,0.1,0,-0.0997348,2,35,2,20,0,15,8,16,5,9,3,7
"147","20","19",0.0857,0.0952,0.0714,-0.0406537,3,35,2,21,1,14,7,18,3,12,4,6
"148","20","2",0.7,0.5,1,-0.070552,14,20,6,12,8,8,10,12,5,7,5,5
"149","20","3",0.4,0.4,0.4,-0.0367796,10,25,6,15,4,10,11,15,6,9,5,6
"150","20","4",0.0968,0.1875,0,-0.030701,3,31,3,16,0,15,6,18,4,10,2,8
"151","20","5",0.1935,0.3529,0,-0.00283828,6,31,6,17,0,14,7,16,5,9,2,7
"152","20","6",0.3333,0.2941,0.4,-0.0341248,9,27,5,17,4,10,8,16,6,10,2,6
"153","20","7",0.1667,0.2941,0,-0.0928548,5,30,5,17,0,13,8,16,6,9,2,7
"154","20","8",0.1667,0.1111,0.25,-0.0677271,5,30,2,18,3,12,6,15,4,9,2,6
"155","20","9",0.36,0.2941,0.5,-0.166199,9,25,5,17,4,8,7,16,5,11,2,5
"156","21","1",0.1786,0.3846,0,-0.0219285,5,28,5,13,0,15,8,16,5,9,3,7
"157","21","10",0,0,0,-0.0964513,0,32,0,18,0,14,4,17,2,9,2,8
"158","21","11",0.069,0.1333,0,-0.0211634,2,29,2,15,0,14,6,18,3,10,3,8
"159","21","12",0.28,0.3333,0.2308,0.103422,7,25,4,12,3,13,6,15,4,8,2,7
"160","21","13",0.0833,0.1333,0,-0.0401612,2,24,2,15,0,9,5,15,4,10,1,5
"161","21","14",0.2692,0.2667,0.2727,-0.00965968,7,26,4,15,3,11,5,15,3,9,2,6
"162","21","15",0.0667,0.1176,0,-0.00897765,2,30,2,17,0,13,7,18,4,11,3,7
"163","21","16",0.3913,0.3846,0.4,-0.0269309,9,23,5,13,4,10,7,14,3,9,4,5
"164","21","17",0.0303,0.0556,0,-0.0410339,1,33,1,18,0,15,4,18,2,9,2,9
"165","21","18",0.2593,0.5385,0,-0.0716951,7,27,7,13,0,14,7,16,6,8,1,8
"166","21","19",0.0606,0.1053,0,-0.103458,2,33,2,19,0,14,8,16,5,10,3,6
"167","21","2",0.1481,0.0667,0.25,-0.107621,4,27,1,15,3,12,5,16,2,10,3,6
"168","21","20",0.2222,0.2,0.25,-0.0343704,6,27,3,15,3,12,6,15,3,9,3,6
"169","21","3",0.0667,0.1176,0,-0.0208136,2,30,2,17,0,13,7,18,4,11,3,7
"170","21","4",0.1071,0.2143,0,-0.0267525,3,28,3,14,0,14,6,17,5,9,1,8
"171","21","5",0.1333,0.2353,0,-0.00892683,4,30,4,17,0,13,5,17,4,10,1,7
"172","21","6",0.2222,0.1765,0.3,-0.0440319,6,27,3,17,3,10,7,16,5,11,2,5
"173","21","7",0.0667,0.1111,0,-0.0796146,2,30,2,18,0,12,6,17,5,10,1,7
"174","21","8",0.3913,0.5,0.2727,-0.0137524,9,23,6,12,3,11,7,13,6,7,1,6
"175","21","9",0.24,0.1765,0.375,-0.176386,6,25,3,17,3,8,7,15,5,11,2,4
"176","22","1",0,0,0,-0.111606,0,34,0,20,0,14,9,16,6,10,3,6
